number,miner,size,timestamp,totalDifficulty,baseFeePerGas,difficulty,gasLimit,gasUsed
13692158,0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,139356,1637962477,35278510187569113973779,91908174653,10727491450408625,29999858,29987334
13692157,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,122379,1637962452,35278499460077663565154,81700284660,10732594536130998,30029182,30022352
13692156,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,537,1637962450,35278488727483127434156,93371753897,10727219197178904,29999887,0
13692155,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,24741,1637962446,35278478000263930255252,100160956364,10721846481623077,29970620,6859325
13692154,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,79440,1637962435,35278467278417448632175,96721198577,10721709042669605,29941382,19229989
13692153,0x537B6bd3caEB0d41540aC1Fd406b9ACDa5670aaD,97307,1637962419,35278456556708405962570,88407122101,10721571603716133,29912172,26208215
13692152,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,56578,1637962418,35278445835136802246437,91501596897,10716201644428468,29941410,10920374
13692151,0x2A20380DcA5bC24D052acfbf79ba23e988ad0050,11666,1637962415,35278435118935157817969,101717850948,10710834305911563,29912200,2938912
13692150,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,60046,1637962409,35278424408100851906406,99942876861,10705469586886370,29941296,17097664
13692149,0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,32026,1637962406,35278413702631265020036,106917737957,10700107486074464,29912086,7150691
13692148,0xEEa5B82B61424dF8020f5feDD81767f2d0D25Bfb,39067,1637962398,35278403002523778945572,112358382919,10694748002198044,29882905,9153463
13692147,0x4069e799Da927C06b430e247b2ee16C03e8B837d,124414,1637962376,35278392307775776747528,99884636110,10699835092098135,29912115,29897940
13692146,0x829BD824B016326A401d083B33D092293333A830,44469,1637962369,35278381607940684649393,100929764836,10694475741161674,29941353,13730504
13692145,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,127814,1637962359,35278370913464943487719,89726605276,10694338302208202,29970620,29953697
13692144,0xEEa5B82B61424dF8020f5feDD81767f2d0D25Bfb,550,1637962358,35278360219126641279517,102544691744,10688981633941283,29941382,0
13692143,0x829BD824B016326A401d083B33D092293333A830,19660,1637962354,35278349530145007338234,111969556176,10683627579958535,29970649,4894392
13692142,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,113410,1637962349,35278338846517427379699,106552064402,10678276138984075,29999944,21101194
13692141,0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,116844,1637962333,35278328168241288395624,111267504198,10678138700030603,29970677,9904792
13692140,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,28502,1637962329,35278317490102588365021,116925004757,10672789937865283,29999972,9193705
13692139,0x829BD824B016326A401d083B33D092293333A830,32876,1637962318,35278306817312650499738,121935382610,10672652498911811,29970705,10059315
13692138,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,125852,1637962298,35278296144660151587927,108389042873,10672515059958339,30000000,29997464
13692137,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,2901,1637962296,35278285472145091629588,123043231276,10667169042370897,30000000,708254
13692136,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,67558,1637962288,35278274804976049258691,118132043184,10661825633869638,30000000,19988846
13692135,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,149026,1637962267,35278264143150415389053,105015740852,10666896640541430,29999858,29987671
13692134,0x829BD824B016326A401d083B33D092293333A830,26698,1637962251,35278253476253774847623,111350603507,10666759201587958,29970591,8165051
13692133,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,40163,1637962250,35278242809494573259665,115659930587,10661415993106602,29999886,10528928
13692132,0x829BD824B016326A401d083B33D092293333A830,150778,1637962237,35278232148078580153063,103147675977,10661278554153130,29970619,29527566
13692131,0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,25269,1637962235,35278221486800025999933,111371153403,10655938020463104,29999914,6139364
13692130,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,21341,1637962231,35278210830862005536829,119374217596,10650600093182883,29970647,6948177
13692129,0x829BD824B016326A401d083B33D092293333A830,60227,1637962225,35278200180261912353946,122490140037,10645264771040427,29941409,11924088
13692128,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,21675,1637962222,35278189534997141313519,135041012219,10639932052764317,29970676,3843297
